n,input,encoder_staircase,dm_bit,decoder_staircase,decoder_filtered,error
356,-7992,-7936,1,-8192,-6338,-56
357,-7992,-8064,0,-8064,-6392,72
358,-8034,-7936,1,-8192,-6449,-98
359,-8034,-8064,0,-8064,-6500,30
360,-8070,-7936,1,-8192,-6553,-134
361,-8070,-8064,0,-8064,-6601,-6
362,-8102,-8192,0,-8192,-6651,90
363,-8102,-8064,1,-8320,-6704,-38
364,-8129,-8192,0,-8192,-6751,63
365,-8129,-8064,1,-8320,-6801,-65
366,-8152,-8192,0,-8192,-6845,40
367,-8152,-8064,1,-8320,-6892,-88
368,-8169,-8192,0,-8192,-6933,23
369,-8169,-8064,1,-8320,-6977,-105
370,-8181,-8192,0,-8192,-7015,11
371,-8181,-8064,1,-8320,-7056,-117
372,-8189,-8192,0,-8192,-7092,3
373,-8191,-8064,1,-8320,-7131,-127
374,-8191,-8192,0,-8192,-7165,1
375,-8189,-8064,1,-8320,-7202,-125
376,-8189,-8192,0,-8192,-7233,3
377,-8181,-8064,1,-8320,-7267,-117
378,-8181,-8192,0,-8192,-7296,11
379,-8169,-8064,1,-8320,-7328,-105
380,-8169,-8192,0,-8192,-7355,23
381,-8152,-8064,1,-8320,-7386,-88
382,-8152,-8192,0,-8192,-7412,40
383,-8129,-8064,1,-8320,-7441,-65
384,-8129,-8192,0,-8192,-7465,63
385,-8102,-8064,1,-8320,-7492,-38
386,-8102,-8192,0,-8192,-7514,90
387,-8070,-8064,1,-8320,-7540,-6
388,-8070,-8192,0,-8192,-7561,122
389,-8034,-8064,1,-8320,-7585,30
390,-8034,-7936,1,-8192,-7604,-98
391,-7992,-8064,0,-8064,-7619,72
392,-7992,-7936,1,-8192,-7637,-56
393,-7946,-8064,0,-8064,-7651,118
394,-7946,-7936,1,-8192,-7668,-10
395,-7894,-8064,0,-8064,-7681,170
396,-7894,-7936,1,-8192,-7697,42
397,-7838,-7808,1,-8064,-7709,-30
398,-7838,-7936,0,-7936,-7717,98
399,-7778,-7808,1,-8064,-7728,30
400,-7778,-7680,1,-7936,-7735,-98
401,-7712,-7808,0,-7808,-7738,96
402,-7712,-7680,1,-7936,-7745,-32
403,-7642,-7808,0,-7808,-7747,166
404,-7642,-7680,1,-7936,-7753,38
405,-7567,-7552,1,-7808,-7755,-15
406,-7567,-7680,0,-7680,-7753,113
407,-7488,-7552,1,-7808,-7755,64
408,-7488,-7424,1,-7680,-7753,-64
409,-7405,-7552,0,-7552,-7747,147
410,-7405,-7424,1,-7680,-7745,19
411,-7316,-7296,1,-7552,-7739,-20
412,-7316,-7424,0,-7424,-7730,108
413,-7224,-7296,1,-7552,-7725,72
414,-7224,-7168,1,-7424,-7716,-56
415,-7127,-7296,0,-7296,-7703,169
416,-7026,-7168,1,-7424,-7695,142
417,-7026,-7040,1,-7296,-7683,14
418,-6920,-6912,1,-7168,-7667,-8
419,-6920,-7040,0,-7040,-7648,120
420,-6811,-6912,1,-7168,-7633,101
421,-6811,-6784,1,-7040,-7615,-27
422,-6697,-6912,0,-6912,-7594,215
423,-6697,-6784,1,-7040,-7577,87
424,-6579,-6656,1,-6912,-7557,77
425,-6579,-6528,1,-6784,-7533,-51
426,-6457,-6656,0,-6656,-7506,199
427,-6457,-6528,1,-6784,-7484,71
428,-6332,-6400,1,-6656,-7459,68
429,-6332,-6272,1,-6528,-7430,-60
430,-6202,-6400,0,-6400,-7398,198
431,-6202,-6272,1,-6528,-7371,70
432,-6069,-6144,1,-6400,-7341,75
433,-6069,-6016,1,-6272,-7308,-53
434,-5932,-6144,0,-6144,-7272,212
435,-5932,-6016,1,-6272,-7241,84
436,-5792,-5888,1,-6144,-7207,96
437,-5792,-5760,1,-6016,-7170,-32
438,-5648,-5888,0,-5888,-7130,240
439,-5648,-5760,1,-6016,-7096,112
440,-5501,-5632,1,-5888,-7059,131
441,-5501,-5504,1,-5760,-7019,3
442,-5350,-5376,1,-5632,-6976,26
443,-5350,-5248,1,-5504,-6930,-102
444,-5196,-5376,0,-5376,-6882,180
445,-5196,-5248,1,-5504,-6839,52
446,-5039,-5120,1,-5376,-6794,81
447,-5039,-4992,1,-5248,-6746,-47
448,-4879,-5120,0,-5120,-6696,241
449,-4879,-4992,1,-5248,-6651,113
450,-4716,-4864,1,-5120,-6604,148
451,-4716,-4736,1,-4992,-6554,20
452,-4551,-4608,1,-4864,-6502,57
453,-4551,-4480,1,-4736,-6447,-71
454,-4382,-4608,0,-4608,-6390,226
455,-4382,-4480,1,-4736,-6339,98
456,-4211,-4352,1,-4608,-6285,141
457,-4037,-4224,1,-4480,-6229,187
458,-4037,-4096,1,-4352,-6171,59
